9.4191 1.1647 4.4388
0.58918 0.50822 0.46485
2.568 7.9758 4.7589
3.1489 8.2813 3.682
4.9814 4.1386 9.4836
1.5691 8.7121 9.9897
9.2387 2.4614 7.3709
1.8953 7.878 6.0138
6.223 6.9138 4.5837
3.472 8.9583 3.4567
9.9433 2.2415 3.4654
7.6228 5.0179 4.3968
2.3842 1.9532 9.8298
0.042418 4.1148 5.4694
4.8818 4.2572 6.498
0.94715 6.9877 6.3481
0.16261 3.8951 1.8116
2.6161 2.7017 1.9319
0.60672 5.3143 2.7664
3.9312 7.0277 4.9455
1.7679 3.6093 6.6187
0.33244 0.96427 4.2492
0.4103 2.5989 6.0337
8.0564 4.5301 6.5728
1.1848 5.1808 1.594
0.1793 9.5606 0.19213
9.9638 0.32654 7.4657
6.2522 7.4798 1.226
9.0339 0.81667 5.173
9.3817 1.6774 0.55277
7.7815 5.3013 2.6723
5.1181 4.6447 1.2629
9.4023 6.035 4.1183
5.2908 7.9184 7.8637
7.0101 4.2964 4.5693
0.37741 2.6813 6.9946
5.1865 2.2746 3.4116
0.9049 4.4628 5.1091
7.7103 0.42297 3.0337
3.7006 3.0388 2.4244
1.5859 6.9746 2.3905
4.3321 9.8655 3.8709
0.37723 3.8146 3.4823
7.3458 0.44138 8.8845
1.1231 8.01 7.5245
3.4847 8.9395 0.87093
6.4895 0.13179 7.4186
6.8112 0.13476 4.6887
6.9696 4.0634 4.9367
1.7023 8.2648 9.9107
9.9092 4.3009 1.4115
8.0631 9.6594 8.696
1.0286 1.9299 9.1145
0.67918 1.0107 2.8455
3.7343 8.7008 0.83956
8.6783 5.3306 4.4553
4.0492 2.2829 1.4239
4.0895 8.359 5.7745
1.6757 1.0985 1.9631
2.3151 1.9735 1.2609
7.2252 6.9955 1.7999
2.0558 9.609 1.0078
0.85063 6.7636 9.0752
9.4076 4.9291 1.9102
6.8964 2.0449 7.0126
6.8241 4.1446 7.1595
8.0093 0.80319 0.33969
7.5033 2.7018 0.05014
3.6333 5.3533 7.9658
4.8462 6.5166 5.6503
7.4261 4.0041 7.5595
9.0061 4.9916 1.6506
7.6509 6.6304 3.8743
6.4493 8.8669 8.3974
8.6627 0.03256 0.43848
8.8556 2.1443 0.87693
9.3563 1.4969 4.1916
1.9098 5.3387 1.9549
3.3027 1.5434 2.8031
3.5091 9.6917 1.7653
3.3385 7.4143 3.8341
9.5143 1.9277 6.4362
6.9553 7.0034 6
7.8161 5.1357 1.1098
4.4159 6.5003 1.9972
9.2329 6.1388 1.9069
4.604 7.1818 3.7265
1.3577 5.3369 9.6696
2.2598 6.5084 1.1679
4.5162 1.1766 5.6496
9.7773 8.669 8.4661
4.591 0.13235 0.78105
6.5433 0.54893 7.017
8.4556 4.5425 6.5
3.9776 7.8685 5.0826
0.02057 2.1453 9.0044
2.7213 4.4358 2.2085
8.0317 6.763 6.6378
0.28611 5.7636 6.2555
0.54899 2.8105 8.4304
6.7482 4.8089 1.6876
1.1418 5.6559 9.5411
1.8562 2.4836 0.011702
7.1717 8.8725 4.2297
9.1168 4.878 2.625
9.296 0.77207 4.1703
4.815 7.3786 4.0338
9.6511 5.7743 9.0858
8.909 7.9812 8.4916
9.7177 8.5554 4.8158
2.7266 9.4495 8.0434
9.1283 8.7062 6.7557
1.9143 3.3983 3.8548
9.0787 3.9491 7.8537
8.4181 7.8849 2.9447
1.2169 0.81826 1.9455
